DrugBank_id,drug_smile
DB00436,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
DB04815,Oc1c(I)cc(Cl)c2cccnc12
DB09286,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
DB11115,O=S(=O)(O)c1ccc2nc(-c3ccccc3)[nH]c2c1
DB09085,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
DB00827,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
DB00685,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12
DB00571,CC(C)NCC(O)COc1cccc2ccccc12
DB01238,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
DB09236,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
DB00538,COCCNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-].[Gd+3]
DB09221,NCCC(=O)[N-][C@@H](Cc1cnc[nH]1)C(=O)[O-].[Zn+2]
DB00249,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
DB01221,CNC1(c2ccccc2Cl)CCCCC1=O
DB01055,N[C@@H](Cn1ccc(=O)c(O)c1)C(=O)O
DB00775,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
DB00563,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
DB01252,O=C(O)[C@H](CC(=O)N1C[C@H]2CCCC[C@H]2C1)Cc1ccccc1
DB05016,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1
DB00960,CC(C)NCC(O)COc1cccc2[nH]ccc12
DB08987,CCCN(CC)C(CC)C(O)=Nc1c(C)cccc1C
DB08984,O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1
DB00645,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1
DB09148,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])cc2)cc1
DB08979,OC1=NCC2(CCN(CCc3ccccc3)CC2)O1
DB01558,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
DB11793,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12
DB08982,CCOC(=O)/C=C1\SC(N2CCCCC2)C(=O)N1C
DB13873,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
DB11943,Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F
DB00850,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
DB00839,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
DB01605,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@@H]2SC1(C)C
DB04552,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
DB08872,CC(OC(=O)NCC1(CC(=O)O)CCCCC1)OC(=O)C(C)C
DB01106,C[C@@H]1CN([C@H]2CC[C@@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1
DB00474,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
